"Plot Title: 10350048"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10350048, SEN S/N: 10350048)","Intensity, Lux (LGR S/N: 10350048, SEN S/N: 10350048)","Coupler Attached (LGR S/N: 10350048)","Host Connected (LGR S/N: 10350048)","Stopped (LGR S/N: 10350048)","End Of File (LGR S/N: 10350048)"
1,12/14/2019 12:00:00 AM,5.860,0.0,,,,
2,12/14/2019 12:10:00 AM,5.962,0.0,,,,
3,12/14/2019 12:20:00 AM,5.860,0.0,,,,
4,12/14/2019 12:30:00 AM,5.757,0.0,,,,
5,12/14/2019 12:40:00 AM,5.962,0.0,,,,
6,12/14/2019 12:50:00 AM,5.860,0.0,,,,
7,12/14/2019 01:00:00 AM,5.860,0.0,,,,
8,12/14/2019 01:10:00 AM,5.962,0.0,,,,
9,12/14/2019 01:20:00 AM,6.064,0.0,,,,
10,12/14/2019 01:30:00 AM,6.166,0.0,,,,
11,12/14/2019 01:40:00 AM,6.166,0.0,,,,
12,12/14/2019 01:50:00 AM,6.268,0.0,,,,
13,12/14/2019 02:00:00 AM,5.962,0.0,,,,
14,12/14/2019 02:10:00 AM,5.450,0.0,,,,
15,12/14/2019 02:20:00 AM,5.347,0.0,,,,
16,12/14/2019 02:30:00 AM,5.244,0.0,,,,
17,12/14/2019 02:40:00 AM,5.244,0.0,,,,
18,12/14/2019 02:50:00 AM,5.450,0.0,,,,
19,12/14/2019 03:00:00 AM,5.552,0.0,,,,
20,12/14/2019 03:10:00 AM,5.655,0.0,,,,
21,12/14/2019 03:20:00 AM,5.757,0.0,,,,
22,12/14/2019 03:30:00 AM,5.962,0.0,,,,
23,12/14/2019 03:40:00 AM,6.166,0.0,,,,
24,12/14/2019 03:50:00 AM,6.674,0.0,,,,
25,12/14/2019 04:00:00 AM,6.978,0.0,,,,
26,12/14/2019 04:10:00 AM,7.179,0.0,,,,
27,12/14/2019 04:20:00 AM,7.882,0.0,,,,
28,12/14/2019 04:30:00 AM,7.983,0.0,,,,
29,12/14/2019 04:40:00 AM,8.082,0.0,,,,
30,12/14/2019 04:50:00 AM,8.481,0.0,,,,
31,12/14/2019 05:00:00 AM,8.879,0.0,,,,
32,12/14/2019 05:10:00 AM,9.176,0.0,,,,
33,12/14/2019 05:20:00 AM,9.373,0.0,,,,
34,12/14/2019 05:30:00 AM,9.571,0.0,,,,
35,12/14/2019 05:40:00 AM,9.571,0.0,,,,
36,12/14/2019 05:50:00 AM,9.472,0.0,,,,
37,12/14/2019 06:00:00 AM,9.373,0.0,,,,
38,12/14/2019 06:10:00 AM,9.472,0.0,,,,
39,12/14/2019 06:20:00 AM,9.472,0.0,,,,
40,12/14/2019 06:30:00 AM,9.571,0.0,,,,
41,12/14/2019 06:40:00 AM,9.275,0.0,,,,
42,12/14/2019 06:50:00 AM,9.275,0.0,,,,
43,12/14/2019 07:00:00 AM,9.077,0.0,,,,
44,12/14/2019 07:10:00 AM,8.978,0.0,,,,
45,12/14/2019 07:20:00 AM,9.275,0.0,,,,
46,12/14/2019 07:30:00 AM,9.275,0.0,,,,
47,12/14/2019 07:40:00 AM,9.373,0.0,,,,
48,12/14/2019 07:50:00 AM,9.275,0.0,,,,
49,12/14/2019 08:00:00 AM,9.275,86.1,,,,
50,12/14/2019 08:10:00 AM,9.176,161.5,,,,
51,12/14/2019 08:20:00 AM,9.275,258.3,,,,
52,12/14/2019 08:30:00 AM,9.373,505.9,,,,
53,12/14/2019 08:40:00 AM,9.373,226.0,,,,
54,12/14/2019 08:50:00 AM,9.077,215.3,,,,
55,12/14/2019 09:00:00 AM,9.176,312.2,,,,
56,12/14/2019 09:10:00 AM,8.978,1033.3,,,,
57,12/14/2019 09:20:00 AM,8.282,914.9,,,,
58,12/14/2019 09:30:00 AM,7.983,1980.6,,,,
59,12/14/2019 09:40:00 AM,8.481,2152.8,,,,
60,12/14/2019 09:50:00 AM,8.879,1636.1,,,,
61,12/14/2019 10:00:00 AM,8.978,1894.5,,,,
62,12/14/2019 10:10:00 AM,9.275,2497.2,,,,
63,12/14/2019 10:20:00 AM,9.866,3961.1,,,,
64,12/14/2019 10:30:00 AM,9.176,861.1,,,,
65,12/14/2019 10:40:00 AM,8.680,1722.2,,,,
66,12/14/2019 10:50:00 AM,8.382,2238.9,,,,
67,12/14/2019 11:00:00 AM,8.779,2411.1,,,,
68,12/14/2019 11:10:00 AM,9.275,5166.7,,,,
69,12/14/2019 11:20:00 AM,9.571,3444.5,,,,
70,12/14/2019 11:30:00 AM,9.373,1227.1,,,,
71,12/14/2019 11:40:00 AM,9.275,1980.6,,,,
72,12/14/2019 11:50:00 AM,8.382,2066.7,,,,
73,12/14/2019 12:00:00 PM,8.182,2497.2,,,,
74,12/14/2019 12:10:00 PM,8.481,1550.0,,,,
75,12/14/2019 12:20:00 PM,8.680,3444.5,,,,
76,12/14/2019 12:30:00 PM,10.161,6544.5,,,,
77,12/14/2019 12:40:00 PM,11.528,34444.7,,,,
78,12/14/2019 12:50:00 PM,12.304,17222.3,,,,
79,12/14/2019 01:00:00 PM,15.187,55111.5,,,,
80,12/14/2019 01:10:00 PM,17.665,9644.5,,,,
81,12/14/2019 01:20:00 PM,20.329,60622.6,,,,
82,12/14/2019 01:30:00 PM,22.908,77156.1,,,,
83,12/14/2019 01:40:00 PM,13.942,7577.8,,,,
84,12/14/2019 01:50:00 PM,10.651,4133.4,,,,
85,12/14/2019 02:00:00 PM,10.063,2927.8,,,,
86,12/14/2019 02:10:00 PM,9.965,3100.0,,,,
87,12/14/2019 02:20:00 PM,9.965,3272.2,,,,
88,12/14/2019 02:30:00 PM,10.063,4650.0,,,,
89,12/14/2019 02:40:00 PM,10.259,6200.0,,,,
90,12/14/2019 02:50:00 PM,10.357,5511.1,,,,
91,12/14/2019 03:00:00 PM,10.748,8611.2,,,,
92,12/14/2019 03:10:00 PM,10.846,7577.8,,,,
93,12/14/2019 03:20:00 PM,10.748,4822.3,,,,
94,12/14/2019 03:30:00 PM,10.651,3616.7,,,,
95,12/14/2019 03:40:00 PM,10.651,3272.2,,,,
96,12/14/2019 03:50:00 PM,10.357,2152.8,,,,
97,12/14/2019 04:00:00 PM,10.357,1894.5,,,,
98,12/14/2019 04:10:00 PM,10.259,1636.1,,,,
99,12/14/2019 04:20:00 PM,10.063,1044.1,,,,
100,12/14/2019 04:30:00 PM,10.259,581.3,,,,
101,12/14/2019 04:40:00 PM,10.063,183.0,,,,
102,12/14/2019 04:50:00 PM,10.161,43.1,,,,
103,12/14/2019 05:00:00 PM,10.161,0.0,,,,
104,12/14/2019 05:10:00 PM,10.161,0.0,,,,
105,12/14/2019 05:20:00 PM,10.259,0.0,,,,
106,12/14/2019 05:30:00 PM,10.455,0.0,,,,
107,12/14/2019 05:40:00 PM,10.357,0.0,,,,
108,12/14/2019 05:50:00 PM,10.357,0.0,,,,
109,12/14/2019 06:00:00 PM,10.357,0.0,,,,
110,12/14/2019 06:10:00 PM,10.357,0.0,,,,
111,12/14/2019 06:20:00 PM,10.357,0.0,,,,
112,12/14/2019 06:30:00 PM,10.455,0.0,,,,
113,12/14/2019 06:40:00 PM,10.455,0.0,,,,
114,12/14/2019 06:50:00 PM,10.651,0.0,,,,
115,12/14/2019 07:00:00 PM,10.651,0.0,,,,
116,12/14/2019 07:10:00 PM,10.651,0.0,,,,
117,12/14/2019 07:20:00 PM,10.651,0.0,,,,
118,12/14/2019 07:30:00 PM,10.748,0.0,,,,
119,12/14/2019 07:40:00 PM,10.748,0.0,,,,
120,12/14/2019 07:50:00 PM,10.748,0.0,,,,
121,12/14/2019 08:00:00 PM,10.651,0.0,,,,
122,12/14/2019 08:10:00 PM,10.553,0.0,,,,
123,12/14/2019 08:20:00 PM,10.651,0.0,,,,
124,12/14/2019 08:30:00 PM,10.748,0.0,,,,
125,12/14/2019 08:40:00 PM,10.846,0.0,,,,
126,12/14/2019 08:50:00 PM,10.748,0.0,,,,
127,12/14/2019 09:00:00 PM,10.846,0.0,,,,
128,12/14/2019 09:10:00 PM,11.041,0.0,,,,
129,12/14/2019 09:20:00 PM,11.139,0.0,,,,
130,12/14/2019 09:30:00 PM,11.041,0.0,,,,
131,12/14/2019 09:40:00 PM,11.041,0.0,,,,
132,12/14/2019 09:50:00 PM,11.236,0.0,,,,
133,12/14/2019 10:00:00 PM,11.431,0.0,,,,
134,12/14/2019 10:10:00 PM,11.528,0.0,,,,
135,12/14/2019 10:20:00 PM,11.625,0.0,,,,
136,12/14/2019 10:30:00 PM,11.625,0.0,,,,
137,12/14/2019 10:40:00 PM,11.819,0.0,,,,
138,12/14/2019 10:50:00 PM,11.819,0.0,,,,
139,12/14/2019 11:00:00 PM,11.819,0.0,,,,
140,12/14/2019 11:10:00 PM,11.819,0.0,,,,
141,12/14/2019 11:20:00 PM,12.013,0.0,,,,
142,12/14/2019 11:30:00 PM,11.625,0.0,,,,
143,12/14/2019 11:40:00 PM,11.625,0.0,,,,
144,12/14/2019 11:50:00 PM,11.236,0.0,,,,
145,12/15/2019 12:00:00 AM,10.846,0.0,,,,
146,12/15/2019 12:10:00 AM,10.553,0.0,,,,
147,12/15/2019 12:20:00 AM,10.259,0.0,,,,
148,12/15/2019 12:30:00 AM,9.965,0.0,,,,
149,12/15/2019 12:40:00 AM,9.768,0.0,,,,
150,12/15/2019 12:50:00 AM,9.669,0.0,,,,
151,12/15/2019 01:00:00 AM,9.472,0.0,,,,
152,12/15/2019 01:10:00 AM,9.373,0.0,,,,
153,12/15/2019 01:20:00 AM,9.373,0.0,,,,
154,12/15/2019 01:30:00 AM,9.373,0.0,,,,
155,12/15/2019 01:40:00 AM,9.373,0.0,,,,
156,12/15/2019 01:50:00 AM,9.571,0.0,,,,
157,12/15/2019 02:00:00 AM,10.455,0.0,,,,
158,12/15/2019 02:10:00 AM,11.041,0.0,,,,
159,12/15/2019 02:20:00 AM,11.431,0.0,,,,
160,12/15/2019 02:30:00 AM,11.625,0.0,,,,
161,12/15/2019 02:40:00 AM,11.916,0.0,,,,
162,12/15/2019 02:50:00 AM,12.013,0.0,,,,
163,12/15/2019 03:00:00 AM,12.207,0.0,,,,
164,12/15/2019 03:10:00 AM,12.304,0.0,,,,
165,12/15/2019 03:20:00 AM,12.401,0.0,,,,
166,12/15/2019 03:30:00 AM,12.594,0.0,,,,
167,12/15/2019 03:40:00 AM,12.690,0.0,,,,
168,12/15/2019 03:50:00 AM,12.883,0.0,,,,
169,12/15/2019 04:00:00 AM,12.883,0.0,,,,
170,12/15/2019 04:10:00 AM,12.980,0.0,,,,
171,12/15/2019 04:20:00 AM,12.883,0.0,,,,
172,12/15/2019 04:30:00 AM,12.883,0.0,,,,
173,12/15/2019 04:40:00 AM,12.980,0.0,,,,
174,12/15/2019 04:50:00 AM,13.173,0.0,,,,
175,12/15/2019 05:00:00 AM,13.269,0.0,,,,
176,12/15/2019 05:10:00 AM,13.269,0.0,,,,
177,12/15/2019 05:20:00 AM,13.173,0.0,,,,
178,12/15/2019 05:30:00 AM,13.269,0.0,,,,
179,12/15/2019 05:40:00 AM,13.269,0.0,,,,
180,12/15/2019 05:50:00 AM,13.365,0.0,,,,
181,12/15/2019 06:00:00 AM,13.461,0.0,,,,
182,12/15/2019 06:10:00 AM,13.558,0.0,,,,
183,12/15/2019 06:20:00 AM,13.558,0.0,,,,
184,12/15/2019 06:30:00 AM,13.654,0.0,,,,
185,12/15/2019 06:40:00 AM,13.654,0.0,,,,
186,12/15/2019 06:50:00 AM,13.846,0.0,,,,
187,12/15/2019 07:00:00 AM,13.750,0.0,,,,
188,12/15/2019 07:10:00 AM,13.846,0.0,,,,
189,12/15/2019 07:20:00 AM,13.942,0.0,,,,
190,12/15/2019 07:30:00 AM,14.038,0.0,,,,
191,12/15/2019 07:40:00 AM,14.038,0.0,,,,
192,12/15/2019 07:50:00 AM,13.942,0.0,,,,
193,12/15/2019 08:00:00 AM,13.942,32.3,,,,
194,12/15/2019 08:10:00 AM,14.134,43.1,,,,
195,12/15/2019 08:20:00 AM,14.230,107.6,,,,
196,12/15/2019 08:30:00 AM,14.325,107.6,,,,
197,12/15/2019 08:40:00 AM,14.421,236.8,,,,
198,12/15/2019 08:50:00 AM,14.325,344.4,,,,
199,12/15/2019 09:00:00 AM,14.325,613.5,,,,
200,12/15/2019 09:10:00 AM,14.421,904.2,,,,
201,12/15/2019 09:20:00 AM,14.613,1722.2,,,,
202,12/15/2019 09:30:00 AM,14.709,1808.3,,,,
203,12/15/2019 09:40:00 AM,14.613,893.4,,,,
204,12/15/2019 09:50:00 AM,14.613,1205.6,,,,
205,12/15/2019 10:00:00 AM,14.517,1334.7,,,,
206,12/15/2019 10:10:00 AM,14.421,2152.8,,,,
207,12/15/2019 10:20:00 AM,14.421,2497.2,,,,
208,12/15/2019 10:30:00 AM,14.517,2238.9,,,,
209,12/15/2019 10:40:00 AM,14.517,3100.0,,,,
210,12/15/2019 10:50:00 AM,14.517,3444.5,,,,
211,12/15/2019 11:00:00 AM,14.613,3444.5,,,,
212,12/15/2019 11:10:00 AM,14.517,2583.4,,,,
213,12/15/2019 11:20:00 AM,14.325,2411.1,,,,
214,12/15/2019 11:30:00 AM,14.134,2066.7,,,,
215,12/15/2019 11:40:00 AM,14.134,1636.1,,,,
216,12/15/2019 11:50:00 AM,14.038,1980.6,,,,
217,12/15/2019 12:00:00 PM,14.230,1808.3,,,,
218,12/15/2019 12:10:00 PM,14.230,1636.1,,,,
219,12/15/2019 12:20:00 PM,14.038,1550.0,,,,
220,12/15/2019 12:30:00 PM,14.134,1636.1,,,,
221,12/15/2019 12:40:00 PM,14.038,1377.8,,,,
222,12/15/2019 12:50:00 PM,13.846,1011.8,,,,
223,12/15/2019 01:00:00 PM,13.942,1044.1,,,,
224,12/15/2019 01:10:00 PM,13.846,1550.0,,,,
225,12/15/2019 01:20:00 PM,13.750,1216.3,,,,
226,12/15/2019 01:30:00 PM,13.461,1022.6,,,,
227,12/15/2019 01:40:00 PM,13.269,968.8,,,,
228,12/15/2019 01:50:00 PM,13.173,1141.0,,,,
229,12/15/2019 02:00:00 PM,12.980,893.4,,,,
230,12/15/2019 02:10:00 PM,12.883,1205.6,,,,
231,12/15/2019 02:20:00 PM,12.883,1141.0,,,,
232,12/15/2019 02:30:00 PM,12.787,721.2,,,,
233,12/15/2019 02:40:00 PM,12.787,1119.5,,,,
234,12/15/2019 02:50:00 PM,12.690,796.5,,,,
235,12/15/2019 03:00:00 PM,12.594,796.5,,,,
236,12/15/2019 03:10:00 PM,12.497,796.5,,,,
237,12/15/2019 03:20:00 PM,12.497,1044.1,,,,
238,12/15/2019 03:30:00 PM,12.594,538.2,,,,
239,12/15/2019 03:40:00 PM,12.497,387.5,,,,
240,12/15/2019 03:50:00 PM,12.497,269.1,,,,
241,12/15/2019 04:00:00 PM,12.304,183.0,,,,
242,12/15/2019 04:10:00 PM,12.304,107.6,,,,
243,12/15/2019 04:20:00 PM,12.207,43.1,,,,
244,12/15/2019 04:30:00 PM,11.916,10.8,,,,
245,12/15/2019 04:40:00 PM,11.916,0.0,,,,
246,12/15/2019 04:50:00 PM,11.722,0.0,,,,
247,12/15/2019 05:00:00 PM,11.625,0.0,,,,
248,12/15/2019 05:10:00 PM,11.431,0.0,,,,
249,12/15/2019 05:20:00 PM,11.236,0.0,,,,
250,12/15/2019 05:30:00 PM,11.139,0.0,,,,
251,12/15/2019 05:40:00 PM,11.041,0.0,,,,
252,12/15/2019 05:50:00 PM,10.846,0.0,,,,
253,12/15/2019 06:00:00 PM,10.651,0.0,,,,
254,12/15/2019 06:10:00 PM,10.455,0.0,,,,
255,12/15/2019 06:20:00 PM,10.259,0.0,,,,
256,12/15/2019 06:30:00 PM,10.161,0.0,,,,
257,12/15/2019 06:40:00 PM,10.161,0.0,,,,
258,12/15/2019 06:50:00 PM,10.063,0.0,,,,
259,12/15/2019 07:00:00 PM,9.965,0.0,,,,
260,12/15/2019 07:10:00 PM,9.866,0.0,,,,
261,12/15/2019 07:20:00 PM,9.866,0.0,,,,
262,12/15/2019 07:30:00 PM,9.768,0.0,,,,
263,12/15/2019 07:40:00 PM,9.669,0.0,,,,
264,12/15/2019 07:50:00 PM,9.669,0.0,,,,
265,12/15/2019 08:00:00 PM,9.571,0.0,,,,
266,12/15/2019 08:10:00 PM,9.571,0.0,,,,
267,12/15/2019 08:20:00 PM,9.571,0.0,,,,
268,12/15/2019 08:30:00 PM,9.373,0.0,,,,
269,12/15/2019 08:40:00 PM,9.275,0.0,,,,
270,12/15/2019 08:50:00 PM,9.275,0.0,,,,
271,12/15/2019 09:00:00 PM,9.275,0.0,,,,
272,12/15/2019 09:10:00 PM,9.275,0.0,,,,
273,12/15/2019 09:20:00 PM,9.176,0.0,,,,
274,12/15/2019 09:30:00 PM,9.077,0.0,,,,
275,12/15/2019 09:40:00 PM,8.978,0.0,,,,
276,12/15/2019 09:50:00 PM,8.978,0.0,,,,
277,12/15/2019 10:00:00 PM,8.879,0.0,,,,
278,12/15/2019 10:10:00 PM,8.879,0.0,,,,
279,12/15/2019 10:20:00 PM,8.879,0.0,,,,
280,12/15/2019 10:30:00 PM,8.879,0.0,,,,
281,12/15/2019 10:40:00 PM,8.879,0.0,,,,
282,12/15/2019 10:50:00 PM,8.680,0.0,,,,
283,12/15/2019 11:00:00 PM,8.581,0.0,,,,
284,12/15/2019 11:10:00 PM,8.481,0.0,,,,
285,12/15/2019 11:20:00 PM,8.581,0.0,,,,
286,12/15/2019 11:30:00 PM,8.481,0.0,,,,
287,12/15/2019 11:40:00 PM,8.382,0.0,,,,
288,12/15/2019 11:50:00 PM,8.382,0.0,,,,
289,12/16/2019 12:00:00 AM,8.581,0.0,,,,
290,12/16/2019 12:10:00 AM,8.481,0.0,,,,
291,12/16/2019 12:20:00 AM,8.481,0.0,,,,
292,12/16/2019 12:30:00 AM,8.481,0.0,,,,
293,12/16/2019 12:40:00 AM,8.581,0.0,,,,
294,12/16/2019 12:50:00 AM,8.481,0.0,,,,
295,12/16/2019 01:00:00 AM,8.382,0.0,,,,
296,12/16/2019 01:10:00 AM,8.581,0.0,,,,
297,12/16/2019 01:20:00 AM,8.581,0.0,,,,
298,12/16/2019 01:30:00 AM,8.680,0.0,,,,
299,12/16/2019 01:40:00 AM,8.879,0.0,,,,
300,12/16/2019 01:50:00 AM,8.978,0.0,,,,
301,12/16/2019 02:00:00 AM,8.978,0.0,,,,
302,12/16/2019 02:10:00 AM,9.077,0.0,,,,
303,12/16/2019 02:20:00 AM,9.176,0.0,,,,
304,12/16/2019 02:30:00 AM,9.275,0.0,,,,
305,12/16/2019 02:40:00 AM,9.275,0.0,,,,
306,12/16/2019 02:50:00 AM,9.373,0.0,,,,
307,12/16/2019 03:00:00 AM,9.176,0.0,,,,
308,12/16/2019 03:10:00 AM,9.176,0.0,,,,
309,12/16/2019 03:20:00 AM,9.176,0.0,,,,
310,12/16/2019 03:30:00 AM,9.077,0.0,,,,
311,12/16/2019 03:40:00 AM,8.978,0.0,,,,
312,12/16/2019 03:50:00 AM,8.779,0.0,,,,
313,12/16/2019 04:00:00 AM,8.382,0.0,,,,
314,12/16/2019 04:10:00 AM,8.282,0.0,,,,
315,12/16/2019 04:20:00 AM,8.182,0.0,,,,
316,12/16/2019 04:30:00 AM,8.182,0.0,,,,
317,12/16/2019 04:40:00 AM,8.182,0.0,,,,
318,12/16/2019 04:50:00 AM,8.182,0.0,,,,
319,12/16/2019 05:00:00 AM,8.082,0.0,,,,
320,12/16/2019 05:10:00 AM,8.082,0.0,,,,
321,12/16/2019 05:20:00 AM,7.882,0.0,,,,
322,12/16/2019 05:30:00 AM,7.782,0.0,,,,
323,12/16/2019 05:40:00 AM,7.682,0.0,,,,
324,12/16/2019 05:50:00 AM,7.481,0.0,,,,
325,12/16/2019 06:00:00 AM,7.682,0.0,,,,
326,12/16/2019 06:10:00 AM,8.082,0.0,,,,
327,12/16/2019 06:20:00 AM,7.882,0.0,,,,
328,12/16/2019 06:30:00 AM,7.782,0.0,,,,
329,12/16/2019 06:40:00 AM,7.582,0.0,,,,
330,12/16/2019 06:50:00 AM,7.481,0.0,,,,
331,12/16/2019 07:00:00 AM,7.381,0.0,,,,
332,12/16/2019 07:10:00 AM,7.381,0.0,,,,
333,12/16/2019 07:20:00 AM,7.280,0.0,,,,
334,12/16/2019 07:30:00 AM,7.381,0.0,,,,
335,12/16/2019 07:40:00 AM,7.381,0.0,,,,
336,12/16/2019 07:50:00 AM,7.280,0.0,,,,
337,12/16/2019 08:00:00 AM,7.280,32.3,,,,
338,12/16/2019 08:10:00 AM,7.280,129.2,,,,
339,12/16/2019 08:20:00 AM,7.280,376.7,,,,
340,12/16/2019 08:30:00 AM,7.280,807.3,,,,
341,12/16/2019 08:40:00 AM,7.280,1377.8,,,,
342,12/16/2019 08:50:00 AM,7.381,2066.7,,,,
343,12/16/2019 09:00:00 AM,7.682,2755.6,,,,
344,12/16/2019 09:10:00 AM,7.882,3616.7,,,,
345,12/16/2019 09:20:00 AM,8.182,4477.8,,,,
346,12/16/2019 09:30:00 AM,8.581,5338.9,,,,
347,12/16/2019 09:40:00 AM,9.077,7233.4,,,,
348,12/16/2019 09:50:00 AM,9.571,9300.1,,,,
349,12/16/2019 10:00:00 AM,10.259,11022.3,,,,
350,12/16/2019 10:10:00 AM,11.819,15844.5,,,,
351,12/16/2019 10:20:00 AM,14.038,18600.1,,,,
352,12/16/2019 10:30:00 AM,14.900,20666.8,,,,
353,12/16/2019 10:40:00 AM,16.523,18600.1,,,,
354,12/16/2019 10:50:00 AM,16.618,23422.4,,,,
355,12/16/2019 11:00:00 AM,18.140,26178.0,,,,
356,12/16/2019 11:10:00 AM,18.426,23422.4,,,,
357,12/16/2019 11:20:00 AM,18.426,23422.4,,,,
358,12/16/2019 11:30:00 AM,19.472,27555.7,,,,
359,12/16/2019 11:40:00 AM,19.377,30311.3,,,,
360,12/16/2019 11:50:00 AM,21.187,33066.9,,,,
361,12/16/2019 12:00:00 PM,23.004,31689.1,,,,
362,12/16/2019 12:10:00 PM,25.513,35822.5,,,,
363,12/16/2019 12:20:00 PM,21.378,20666.8,,,,
364,12/16/2019 12:30:00 PM,18.426,22044.6,,,,
365,12/16/2019 12:40:00 PM,16.903,13777.9,,,,
366,12/16/2019 12:50:00 PM,18.236,22044.6,,,,
367,12/16/2019 01:00:00 PM,19.187,24800.2,,,,
368,12/16/2019 01:10:00 PM,17.094,13089.0,,,,
369,12/16/2019 01:20:00 PM,16.332,18600.1,,,,
370,12/16/2019 01:30:00 PM,16.713,15155.7,,,,
371,12/16/2019 01:40:00 PM,16.237,14466.8,,,,
372,12/16/2019 01:50:00 PM,15.855,12400.1,,,,
373,12/16/2019 02:00:00 PM,16.618,18600.1,,,,
374,12/16/2019 02:10:00 PM,15.664,8266.7,,,,
375,12/16/2019 02:20:00 PM,14.996,9644.5,,,,
376,12/16/2019 02:30:00 PM,14.804,10677.8,,,,
377,12/16/2019 02:40:00 PM,16.141,16533.4,,,,
378,12/16/2019 02:50:00 PM,18.045,22044.6,,,,
379,12/16/2019 03:00:00 PM,16.332,11711.2,,,,
380,12/16/2019 03:10:00 PM,14.517,7233.4,,,,
381,12/16/2019 03:20:00 PM,13.654,5511.1,,,,
382,12/16/2019 03:30:00 PM,13.076,5166.7,,,,
383,12/16/2019 03:40:00 PM,12.690,4650.0,,,,
384,12/16/2019 03:50:00 PM,12.304,4994.5,,,,
385,12/16/2019 04:00:00 PM,11.916,3444.5,,,,
386,12/16/2019 04:10:00 PM,11.625,1302.4,,,,
387,12/16/2019 04:20:00 PM,11.236,613.5,,,,
388,12/16/2019 04:30:00 PM,10.651,183.0,,,,
389,12/16/2019 04:40:00 PM,10.455,75.3,,,,
390,12/16/2019 04:50:00 PM,10.161,21.5,,,,
391,12/16/2019 05:00:00 PM,9.965,0.0,,,,
392,12/16/2019 05:10:00 PM,9.571,0.0,,,,
393,12/16/2019 05:20:00 PM,9.472,0.0,,,,
394,12/16/2019 05:30:00 PM,9.373,0.0,,,,
395,12/16/2019 05:40:00 PM,9.077,0.0,,,,
396,12/16/2019 05:50:00 PM,9.176,0.0,,,,
397,12/16/2019 06:00:00 PM,9.176,0.0,,,,
398,12/16/2019 06:10:00 PM,9.077,0.0,,,,
399,12/16/2019 06:20:00 PM,8.978,0.0,,,,
400,12/16/2019 06:30:00 PM,8.978,0.0,,,,
401,12/16/2019 06:40:00 PM,8.879,0.0,,,,
402,12/16/2019 06:50:00 PM,8.680,0.0,,,,
403,12/16/2019 07:00:00 PM,8.879,0.0,,,,
404,12/16/2019 07:10:00 PM,8.978,0.0,,,,
405,12/16/2019 07:20:00 PM,8.481,0.0,,,,
406,12/16/2019 07:30:00 PM,8.481,0.0,,,,
407,12/16/2019 07:40:00 PM,8.581,0.0,,,,
408,12/16/2019 07:50:00 PM,8.978,0.0,,,,
409,12/16/2019 08:00:00 PM,8.779,0.0,,,,
410,12/16/2019 08:10:00 PM,8.282,0.0,,,,
411,12/16/2019 08:20:00 PM,7.983,0.0,,,,
412,12/16/2019 08:30:00 PM,7.782,0.0,,,,
413,12/16/2019 08:40:00 PM,7.682,0.0,,,,
414,12/16/2019 08:50:00 PM,7.481,0.0,,,,
415,12/16/2019 09:00:00 PM,7.381,0.0,,,,
416,12/16/2019 09:10:00 PM,7.381,0.0,,,,
417,12/16/2019 09:20:00 PM,7.381,0.0,,,,
418,12/16/2019 09:30:00 PM,7.782,0.0,,,,
419,12/16/2019 09:40:00 PM,8.182,0.0,,,,
420,12/16/2019 09:50:00 PM,8.182,0.0,,,,
421,12/16/2019 10:00:00 PM,7.782,0.0,,,,
422,12/16/2019 10:10:00 PM,7.381,0.0,,,,
423,12/16/2019 10:20:00 PM,7.179,0.0,,,,
424,12/16/2019 10:30:00 PM,6.877,0.0,,,,
425,12/16/2019 10:40:00 PM,6.877,0.0,,,,
426,12/16/2019 10:50:00 PM,6.674,0.0,,,,
427,12/16/2019 11:00:00 PM,6.775,0.0,,,,
428,12/16/2019 11:10:00 PM,6.775,0.0,,,,
429,12/16/2019 11:20:00 PM,6.471,0.0,,,,
430,12/16/2019 11:30:00 PM,6.370,0.0,,,,
431,12/16/2019 11:40:00 PM,6.370,0.0,,,,
432,12/16/2019 11:50:00 PM,6.166,0.0,,,,
433,12/17/2019 12:00:00 AM,5.962,0.0,,,,
434,12/17/2019 12:10:00 AM,5.757,0.0,,,,
435,12/17/2019 12:20:00 AM,5.655,0.0,,,,
436,12/17/2019 12:30:00 AM,5.655,0.0,,,,
437,12/17/2019 12:40:00 AM,5.655,0.0,,,,
438,12/17/2019 12:50:00 AM,6.064,0.0,,,,
439,12/17/2019 01:00:00 AM,6.268,0.0,,,,
440,12/17/2019 01:10:00 AM,6.573,0.0,,,,
441,12/17/2019 01:20:00 AM,6.166,0.0,,,,
442,12/17/2019 01:30:00 AM,6.064,0.0,,,,
443,12/17/2019 01:40:00 AM,6.064,0.0,,,,
444,12/17/2019 01:50:00 AM,5.962,0.0,,,,
445,12/17/2019 02:00:00 AM,5.962,0.0,,,,
446,12/17/2019 02:10:00 AM,5.757,0.0,,,,
447,12/17/2019 02:20:00 AM,5.757,0.0,,,,
448,12/17/2019 02:30:00 AM,5.552,0.0,,,,
449,12/17/2019 02:40:00 AM,5.347,0.0,,,,
450,12/17/2019 02:50:00 AM,5.347,0.0,,,,
451,12/17/2019 03:00:00 AM,5.552,0.0,,,,
452,12/17/2019 03:10:00 AM,5.962,0.0,,,,
453,12/17/2019 03:20:00 AM,6.064,0.0,,,,
454,12/17/2019 03:30:00 AM,6.268,0.0,,,,
455,12/17/2019 03:40:00 AM,6.166,0.0,,,,
456,12/17/2019 03:50:00 AM,5.962,0.0,,,,
457,12/17/2019 04:00:00 AM,5.962,0.0,,,,
